,address,district,area,bedrooms,garage,type,rent,total,price_per_m2,valor_estimado_area,location,coordinates
5981,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,40,1,0,Apartamento,1600,1812,6154,246160,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5982,Rua Evans,Vila Matilde,50,2,0,Apartamento,1800,2049,6154,307700,"Rua Evans, Vila Matilde, São Paulo, SP",
5983,Rua Vinte E Nove de Outubro,Vila Matilde,130,2,2,Casa em condomínio,4500,4891,6154,800020,"Rua Vinte E Nove de Outubro, Vila Matilde, São Paulo, SP","(-23.5379975, -46.5315468)"
5984,Rua José Manso,Vila Matilde,73,2,1,Apartamento,2650,3453,6154,449242,"Rua José Manso, Vila Matilde, São Paulo, SP","(-23.5329304, -46.5285464)"
5985,"R. Evans, 178 - São Paulo - Sp, 03648-020, Brasil",Vila Matilde,34,1,0,Apartamento,1600,1812,6154,209236,"R. Evans, 178 - São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5986,Rua José Manso,Vila Matilde,43,2,0,Apartamento,2600,2887,6154,264622,"Rua José Manso, Vila Matilde, São Paulo, SP","(-23.5329304, -46.5285464)"
5987,Rua Eugênia de Carvalho,Vila Matilde,45,1,0,Casa,937,1094,6154,276930,"Rua Eugênia de Carvalho, Vila Matilde, São Paulo, SP","(-23.5385146, -46.5244878)"
5988,Rua José Manso,Vila Matilde,29,1,0,Apartamento,2400,2680,6154,178466,"Rua José Manso, Vila Matilde, São Paulo, SP","(-23.5329304, -46.5285464)"
5989,Rua Dom João Maria Ogno,Vila Matilde,50,1,1,Casa,1750,1824,6154,307700,"Rua Dom João Maria Ogno, Vila Matilde, São Paulo, SP","(-23.5405305, -46.5219719)"
5990,Rua José Manuel da Fonseca Júnior,Vila Matilde,160,3,2,Casa,4900,5381,6154,984640,"Rua José Manuel da Fonseca Júnior, Vila Matilde, São Paulo, SP","(-23.533852, -46.5280101)"
5991,Rua Evans,Vila Matilde,40,1,0,Apartamento,1600,1812,6154,246160,"Rua Evans, Vila Matilde, São Paulo, SP",
5992,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,55,2,0,Apartamento,1900,2124,6154,338470,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5993,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,39,2,0,Apartamento,2000,2227,6154,240006,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5994,Rua Sebastião de Andrade,Vila Matilde,50,1,0,Apartamento,1256,1474,6154,307700,"Rua Sebastião de Andrade, Vila Matilde, São Paulo, SP","(-23.5406789, -46.5293366)"
5995,Rua Antonieta de Morais,Vila Matilde,57,2,1,Apartamento,1700,2536,6154,350778,"Rua Antonieta de Morais, Vila Matilde, São Paulo, SP","(-23.5429304, -46.5280411)"
5996,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,50,2,0,Apartamento,1800,2019,6154,307700,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5997,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,49,2,0,Apartamento,2500,2746,6154,301546,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5998,"R. Evans, São Paulo - Sp, 03648-020, Brasil",Vila Matilde,40,2,0,Apartamento,1800,2019,6154,246160,"R. Evans, São Paulo - Sp, 03648-020, Brasil, Vila Matilde, São Paulo, SP",
5999,Rua Hercília,Vila Matilde,250,3,4,Casa,3100,3432,6154,1538500,"Rua Hercília, Vila Matilde, São Paulo, SP","(-23.5395069, -46.5268124)"
