,address,district,area,bedrooms,garage,type,rent,total,price_per_m2,valor_estimado_area,location,coordinates
37,Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,15337,276066,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
38,Rua Oscar Freire,Pinheiros,19,1,0,Studio e kitnet,3400,3905,15337,291403,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
39,Rua Mourato Coelho,Pinheiros,34,1,1,Studio e kitnet,3231,4083,15337,521458,"Rua Mourato Coelho, Pinheiros, São Paulo, SP","(-23.566351, -46.6856195)"
40,Rua Alves Guimarães,Pinheiros,33,1,0,Studio e kitnet,3417,4018,15337,506121,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
41,Rua Eugênio de Medeiros,Pinheiros,34,1,1,Apartamento,4850,5677,15337,521458,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
42,Rua Alves Guimarães,Pinheiros,25,1,0,Studio e kitnet,2500,2986,15337,383425,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
43,Rua Capote Valente,Pinheiros,83,2,1,Apartamento,3200,4131,15337,1272971,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
44,Rua Alves Guimarães,Pinheiros,38,1,1,Apartamento,4300,5485,15337,582806,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
45,Rua Gilberto Sabino,Pinheiros,73,1,2,Apartamento,9500,11210,15337,1119601,"Rua Gilberto Sabino, Pinheiros, São Paulo, SP","(-23.5672754, -46.7011783)"
46,Rua Alves Guimarães,Pinheiros,43,1,1,Apartamento,3900,4865,15337,659491,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
47,Rua Alves Guimarães,Pinheiros,25,1,0,Apartamento,3100,3650,15337,383425,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
48,Rua Fradique Coutinho,Pinheiros,82,2,0,Casa,4000,4614,15337,1257634,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
49,Rua Alves Guimarães,Pinheiros,33,1,0,Apartamento,3100,3677,15337,506121,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
50,Rua Cunha Gago,Pinheiros,31,1,1,Apartamento,2300,3151,15337,475447,"Rua Cunha Gago, Pinheiros, São Paulo, SP","(-23.5625079, -46.693739)"
51,Rua Fradique Coutinho,Pinheiros,28,1,1,Studio e kitnet,3570,4224,15337,429436,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
52,Rua Eugênio de Medeiros,Pinheiros,97,3,2,Apartamento,12000,13620,15337,1487689,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
53,Rua Oscar Freire,Pinheiros,60,2,0,Apartamento,2900,3701,15337,920220,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
54,Rua João Moura,Pinheiros,75,2,2,Apartamento,12000,13700,15337,1150275,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
55,Rua Fradique Coutinho,Pinheiros,90,2,1,Apartamento,6500,8342,15337,1380330,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
56,Rua Galeno de Almeida,Pinheiros,69,1,1,Apartamento,6500,8202,15337,1058253,"Rua Galeno de Almeida, Pinheiros, São Paulo, SP","(-23.5522121, -46.6768316)"
57,Rua Alves Guimarães,Pinheiros,27,1,0,Studio e kitnet,3300,3827,15337,414099,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
58,Rua Teodoro Sampaio,Pinheiros,33,1,1,Apartamento,2100,2741,15337,506121,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
59,Rua Alves Guimarães,Pinheiros,63,2,1,Apartamento,5000,6196,15337,966231,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
60,Rua Fradique Coutinho,Pinheiros,67,1,1,Apartamento,6000,7402,15337,1027579,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
61,Rua Mateus Grou,Pinheiros,76,2,0,Apartamento,3300,3976,15337,1165612,"Rua Mateus Grou, Pinheiros, São Paulo, SP","(-23.5642121, -46.6843656)"
62,Rua Capote Valente,Pinheiros,58,2,1,Apartamento,2609,3510,15337,889546,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
63,Rua Oscar Freire,Pinheiros,70,2,1,Apartamento,7600,8980,15337,1073590,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
64,Rua Mourato Coelho,Pinheiros,70,2,0,Apartamento,2600,3023,15337,1073590,"Rua Mourato Coelho, Pinheiros, São Paulo, SP","(-23.566351, -46.6856195)"
65,Rua Fidalga,Pinheiros,70,1,3,Apartamento,5000,7637,15337,1073590,"Rua Fidalga, Pinheiros, São Paulo, SP","(-23.5584655, -46.6884283)"
66,Rua Fernão Dias,Pinheiros,35,1,1,Apartamento,5000,6418,15337,536795,"Rua Fernão Dias, Pinheiros, São Paulo, SP","(-23.5682502, -46.6955933)"
67,Rua Lisboa,Pinheiros,30,1,1,Studio e kitnet,3500,4091,15337,460110,"Rua Lisboa, Pinheiros, São Paulo, SP","(-23.5557056, -46.6823972)"
68,Rua Filipe de Alcaçova,Pinheiros,91,4,0,Casa,3500,3748,15337,1395667,"Rua Filipe de Alcaçova, Pinheiros, São Paulo, SP",
69,Rua Francisco Leitão,Pinheiros,55,1,1,Apartamento,4200,5221,15337,843535,"Rua Francisco Leitão, Pinheiros, São Paulo, SP","(-23.5601419, -46.682022)"
70,Rua Fernão Dias,Pinheiros,27,1,0,Studio e kitnet,3000,3591,15337,414099,"Rua Fernão Dias, Pinheiros, São Paulo, SP","(-23.5682502, -46.6955933)"
71,Rua Fradique Coutinho,Pinheiros,66,1,1,Apartamento,7100,8592,15337,1012242,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
72,Rua dos Pinheiros,Pinheiros,30,1,0,Studio e kitnet,4200,4977,15337,460110,"Rua dos Pinheiros, Pinheiros, São Paulo, SP","(-23.5644515, -46.6785043)"
73,Rua Simão Álvares,Pinheiros,80,2,1,Apartamento,4500,6122,15337,1226960,"Rua Simão Álvares, Pinheiros, São Paulo, SP","(-23.5625136, -46.6896584)"
74,Rua Alves Guimarães,Pinheiros,74,2,1,Apartamento,3400,4535,15337,1134938,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
75,Rua Francisco Leitão,Pinheiros,60,1,1,Apartamento,5356,6848,15337,920220,"Rua Francisco Leitão, Pinheiros, São Paulo, SP","(-23.5601419, -46.682022)"
76,Rua Costa Carvalho,Pinheiros,70,2,0,Apartamento,2600,3361,15337,1073590,"Rua Costa Carvalho, Pinheiros, São Paulo, SP","(-23.5646639, -46.6992119)"
77,Rua Cardeal Arcoverde,Pinheiros,48,2,1,Apartamento,3700,4930,15337,736176,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, SP","(-23.5533793, -46.6746258)"
78,Rua Alves Guimarães,Pinheiros,32,1,0,Apartamento,4000,4609,15337,490784,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
79,Rua Cardeal Arcoverde,Pinheiros,55,2,1,Apartamento,3808,4862,15337,843535,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, SP","(-23.5533793, -46.6746258)"
80,Rua Oscar Freire,Pinheiros,54,1,0,Apartamento,5000,5743,15337,828198,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
81,Rua Capote Valente,Pinheiros,27,1,0,Apartamento,3300,4047,15337,414099,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
82,Rua Capote Valente,Pinheiros,60,2,1,Apartamento,3200,3973,15337,920220,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
83,Rua Joaquim Antunes,Pinheiros,96,3,1,Apartamento,5000,6535,15337,1472352,"Rua Joaquim Antunes, Pinheiros, São Paulo, SP","(-23.5655893, -46.6805614)"
84,Rua Alves Guimarães,Pinheiros,24,1,0,Studio e kitnet,3500,3908,15337,368088,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
85,Rua Alves Guimarães,Pinheiros,58,2,1,Apartamento,5000,6147,15337,889546,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
86,Rua dos Pinheiros,Pinheiros,84,2,1,Apartamento,5900,7081,15337,1288308,"Rua dos Pinheiros, Pinheiros, São Paulo, SP","(-23.5644515, -46.6785043)"
87,Rua Pais Leme,Pinheiros,68,2,1,Apartamento,10310,12160,15337,1042916,"Rua Pais Leme, Pinheiros, São Paulo, SP","(-23.5676669, -46.6982708)"
88,Rua Oscar Freire,Pinheiros,33,1,1,Studio e kitnet,2300,3619,15337,506121,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
89,Rua Arruda Alvim,Pinheiros,50,1,2,Apartamento,3707,5006,15337,766850,"Rua Arruda Alvim, Pinheiros, São Paulo, SP","(-23.5537614, -46.675061)"
90,Rua Joaquim Antunes,Pinheiros,90,2,0,Apartamento,4100,4948,15337,1380330,"Rua Joaquim Antunes, Pinheiros, São Paulo, SP","(-23.5655893, -46.6805614)"
91,Rua Padre Carvalho,Pinheiros,40,1,1,Apartamento,4300,5557,15337,613480,"Rua Padre Carvalho, Pinheiros, São Paulo, SP","(-23.5651765, -46.6965102)"
92,Rua João Moura,Pinheiros,48,1,1,Apartamento,4100,5574,15337,736176,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
93,Avenida Rebouças,Pinheiros,30,1,0,Studio e kitnet,4500,5595,15337,460110,"Avenida Rebouças, Pinheiros, São Paulo, SP","(-23.5644812, -46.6784579)"
94,Rua Capote Valente,Pinheiros,44,1,1,Apartamento,3600,4506,15337,674828,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
95,Rua Alves Guimarães,Pinheiros,31,1,0,Apartamento,5000,5693,15337,475447,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
96,Rua Alves Guimarães,Pinheiros,83,2,1,Apartamento,4400,5857,15337,1272971,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
97,Rua Capote Valente,Pinheiros,54,1,1,Apartamento,3200,4146,15337,828198,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
98,Rua Capote Valente,Pinheiros,35,1,1,Studio e kitnet,2350,3604,15337,536795,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
99,Avenida Rebouças,Pinheiros,90,3,1,Apartamento,4590,5832,15337,1380330,"Avenida Rebouças, Pinheiros, São Paulo, SP","(-23.5644812, -46.6784579)"
100,Rua Bento Frias,Pinheiros,33,1,1,Studio e kitnet,4500,5329,15337,506121,"Rua Bento Frias, Pinheiros, São Paulo, SP",
101,Rua Fernão Dias,Pinheiros,100,1,2,Apartamento,13000,15620,15337,1533700,"Rua Fernão Dias, Pinheiros, São Paulo, SP","(-23.5682502, -46.6955933)"
102,Rua Cunha Gago,Pinheiros,80,1,0,Apartamento,3063,3991,15337,1226960,"Rua Cunha Gago, Pinheiros, São Paulo, SP","(-23.5625079, -46.693739)"
103,Rua Joaquim Antunes,Pinheiros,93,2,0,Apartamento,4220,5194,15337,1426341,"Rua Joaquim Antunes, Pinheiros, São Paulo, SP","(-23.5655893, -46.6805614)"
104,Rua Mourato Coelho,Pinheiros,65,2,1,Apartamento,2700,4336,15337,996905,"Rua Mourato Coelho, Pinheiros, São Paulo, SP","(-23.566351, -46.6856195)"
105,Rua Ferreira de Araújo,Pinheiros,80,2,1,Apartamento,8000,9541,15337,1226960,"Rua Ferreira de Araújo, Pinheiros, São Paulo, SP","(-23.5592193, -46.6979381)"
106,Rua Alves Guimarães,Pinheiros,38,1,1,Studio e kitnet,4690,5920,15337,582806,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
107,Avenida Rebouças,Pinheiros,33,1,1,Studio e kitnet,5500,6704,15337,506121,"Avenida Rebouças, Pinheiros, São Paulo, SP","(-23.5644812, -46.6784579)"
108,Rua Ferreira de Araújo,Pinheiros,70,2,1,Apartamento,7800,9284,15337,1073590,"Rua Ferreira de Araújo, Pinheiros, São Paulo, SP","(-23.5592193, -46.6979381)"
109,Praça Benedito Calixto,Pinheiros,50,1,1,Apartamento,2415,3108,15337,766850,"Praça Benedito Calixto, Pinheiros, São Paulo, SP","(-23.5583317, -46.68074332139406)"
110,Rua Alves Guimarães,Pinheiros,40,1,1,Apartamento,4200,4917,15337,613480,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
111,Rua Alves Guimarães,Pinheiros,84,2,1,Apartamento,3990,6044,15337,1288308,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
112,Rua Capote Valente,Pinheiros,38,1,1,Apartamento,2376,2950,15337,582806,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
113,Rua Capote Valente,Pinheiros,45,1,2,Apartamento,3500,4676,15337,690165,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
114,Rua Oscar Freire,Pinheiros,20,1,0,Apartamento,3900,4395,15337,306740,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
115,Rua Fradique Coutinho,Pinheiros,80,3,2,Apartamento,5700,7444,15337,1226960,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
116,Rua Amália de Noronha,Pinheiros,65,2,0,Apartamento,2700,3384,15337,996905,"Rua Amália de Noronha, Pinheiros, São Paulo, SP","(-23.5532728, -46.68251)"
117,Rua Francisco Leitão,Pinheiros,58,1,1,Apartamento,4500,5667,15337,889546,"Rua Francisco Leitão, Pinheiros, São Paulo, SP","(-23.5601419, -46.682022)"
118,Rua dos Pinheiros,Pinheiros,35,1,1,Studio e kitnet,3800,4567,15337,536795,"Rua dos Pinheiros, Pinheiros, São Paulo, SP","(-23.5644515, -46.6785043)"
119,Rua Oscar Freire,Pinheiros,27,1,0,Studio e kitnet,3300,4067,15337,414099,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
120,Rua Artur de Azevedo,Pinheiros,107,3,1,Apartamento,4000,5446,15337,1641059,"Rua Artur de Azevedo, Pinheiros, São Paulo, SP","(-23.5624951, -46.6814935)"
121,Rua Teodoro Sampaio,Pinheiros,78,2,1,Apartamento,3570,6462,15337,1196286,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
122,Rua Teodoro Sampaio,Pinheiros,42,2,1,Apartamento,2500,3251,15337,644154,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
123,Rua Teodoro Sampaio,Pinheiros,29,1,1,Apartamento,2413,3117,15337,444773,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
124,Rua Doutor Virgílio de Carvalho Pinto,Pinheiros,40,1,1,Apartamento,2900,4296,15337,613480,"Rua Doutor Virgílio de Carvalho Pinto, Pinheiros, São Paulo, SP","(-23.5637236, -46.6833676)"
125,Rua Cônego Eugênio Leite,Pinheiros,55,1,0,Apartamento,2674,3373,15337,843535,"Rua Cônego Eugênio Leite, Pinheiros, São Paulo, SP","(-23.5649091, -46.6799144)"
126,Rua Arruda Alvim,Pinheiros,50,1,1,Apartamento,2365,3200,15337,766850,"Rua Arruda Alvim, Pinheiros, São Paulo, SP","(-23.5537614, -46.675061)"
127,Rua Padre Carvalho,Pinheiros,68,2,1,Apartamento,3800,5396,15337,1042916,"Rua Padre Carvalho, Pinheiros, São Paulo, SP","(-23.5651765, -46.6965102)"
128,Avenida Rebouças,Pinheiros,49,1,1,Apartamento,5962,6998,15337,751513,"Avenida Rebouças, Pinheiros, São Paulo, SP","(-23.5644812, -46.6784579)"
129,Avenida Doutora Ruth Cardoso,Pinheiros,69,2,1,Apartamento,3800,5202,15337,1058253,"Avenida Doutora Ruth Cardoso, Pinheiros, São Paulo, SP","(-23.5673309, -46.7022818)"
130,Rua Doutor Virgílio de Carvalho Pinto,Pinheiros,110,2,2,Apartamento,8500,10230,15337,1687070,"Rua Doutor Virgílio de Carvalho Pinto, Pinheiros, São Paulo, SP","(-23.5637236, -46.6833676)"
131,Rua João Moura,Pinheiros,185,2,3,Apartamento,10000,13160,15337,2837345,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
132,Avenida Rebouças,Pinheiros,38,1,1,Apartamento,3500,4116,15337,582806,"Avenida Rebouças, Pinheiros, São Paulo, SP","(-23.5644812, -46.6784579)"
133,Rua Joaquim Antunes,Pinheiros,89,2,1,Apartamento,11000,13110,15337,1364993,"Rua Joaquim Antunes, Pinheiros, São Paulo, SP","(-23.5655893, -46.6805614)"
134,Rua Capote Valente,Pinheiros,70,2,1,Casa,3900,4333,15337,1073590,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
135,Rua Fradique Coutinho,Pinheiros,60,1,0,Casa,5090,5642,15337,920220,"Rua Fradique Coutinho, Pinheiros, São Paulo, SP","(-23.562644, -46.6868335)"
136,Rua Fernão Dias,Pinheiros,122,2,1,Casa,6500,7160,15337,1871114,"Rua Fernão Dias, Pinheiros, São Paulo, SP","(-23.5682502, -46.6955933)"
137,Rua Ernest Friedrich Jost,Pinheiros,145,1,0,Casa,13300,14150,15337,2223865,"Rua Ernest Friedrich Jost, Pinheiros, São Paulo, SP","(-23.56164, -46.699133)"
138,Rua Joaquim Antunes,Pinheiros,49,1,1,Apartamento,3600,4589,15337,751513,"Rua Joaquim Antunes, Pinheiros, São Paulo, SP","(-23.5655893, -46.6805614)"
139,Praça Benedito Calixto,Pinheiros,70,2,1,Apartamento,4250,5387,15337,1073590,"Praça Benedito Calixto, Pinheiros, São Paulo, SP","(-23.5583317, -46.68074332139406)"
140,Rua Fernão Dias,Pinheiros,26,1,0,Apartamento,3200,3948,15337,398762,"Rua Fernão Dias, Pinheiros, São Paulo, SP","(-23.5682502, -46.6955933)"
141,Rua Capote Valente,Pinheiros,52,1,2,Apartamento,3960,5820,15337,797524,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
142,Rua Alves Guimarães,Pinheiros,31,1,1,Studio e kitnet,3000,3983,15337,475447,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
143,Rua Alves Guimarães,Pinheiros,56,2,1,Apartamento,5700,6965,15337,858872,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
144,Rua Eugênio de Medeiros,Pinheiros,34,1,1,Studio e kitnet,4750,5582,15337,521458,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
145,Rua Oscar Freire,Pinheiros,18,1,0,Studio e kitnet,3290,3947,15337,276066,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
146,Rua Henrique Schaumann,Pinheiros,127,3,2,Apartamento,4800,7085,15337,1947799,"Rua Henrique Schaumann, Pinheiros, São Paulo, SP","(-23.5640994, -46.6779179)"
147,Rua Padre Carvalho,Pinheiros,60,2,1,Apartamento,4500,6188,15337,920220,"Rua Padre Carvalho, Pinheiros, São Paulo, SP","(-23.5651765, -46.6965102)"
148,Rua Oscar Freire,Pinheiros,80,1,1,Apartamento,6500,7940,15337,1226960,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
149,Rua Alves Guimarães,Pinheiros,50,1,1,Apartamento,3700,4693,15337,766850,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
150,Rua dos Pinheiros,Pinheiros,30,1,1,Apartamento,4000,4760,15337,460110,"Rua dos Pinheiros, Pinheiros, São Paulo, SP","(-23.5644515, -46.6785043)"
151,Rua Teodoro Sampaio,Pinheiros,115,2,0,Apartamento,5500,8152,15337,1763755,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
152,Rua Francisco Leitão,Pinheiros,86,2,1,Apartamento,4600,6978,15337,1318982,"Rua Francisco Leitão, Pinheiros, São Paulo, SP","(-23.5601419, -46.682022)"
153,Rua Capote Valente,Pinheiros,67,2,2,Apartamento,8650,9933,15337,1027579,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
154,Rua Diogo Moreira,Pinheiros,26,1,1,Studio e kitnet,5000,6584,15337,398762,"Rua Diogo Moreira, Pinheiros, São Paulo, SP","(-23.5711063, -46.6938204)"
155,Rua João Moura,Pinheiros,50,1,0,Casa em condomínio,2000,2294,15337,766850,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
156,Rua João Moura,Pinheiros,49,1,1,Apartamento,2552,3824,15337,751513,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
157,Rua Teodoro Sampaio,Pinheiros,70,1,1,Apartamento,2000,2695,15337,1073590,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
158,Rua Lisboa,Pinheiros,36,1,1,Studio e kitnet,4200,4880,15337,552132,"Rua Lisboa, Pinheiros, São Paulo, SP","(-23.5557056, -46.6823972)"
159,Rua Capote Valente,Pinheiros,32,1,0,Studio e kitnet,3850,4661,15337,490784,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
160,Rua Oscar Freire,Pinheiros,148,2,1,Apartamento,5000,6523,15337,2269876,"Rua Oscar Freire, Pinheiros, São Paulo, SP","(-23.5507897, -46.6787724)"
161,Rua Capote Valente,Pinheiros,90,2,1,Apartamento,4044,5234,15337,1380330,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
162,Rua Lisboa,Pinheiros,105,3,1,Apartamento,12000,13580,15337,1610385,"Rua Lisboa, Pinheiros, São Paulo, SP","(-23.5557056, -46.6823972)"
163,Rua dos Pinheiros,Pinheiros,72,2,1,Apartamento,10000,11760,15337,1104264,"Rua dos Pinheiros, Pinheiros, São Paulo, SP","(-23.5644515, -46.6785043)"
164,Rua Eugênio de Medeiros,Pinheiros,60,1,2,Apartamento,6200,7830,15337,920220,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
165,Rua Capote Valente,Pinheiros,52,1,1,Apartamento,3900,5879,15337,797524,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
166,Rua Teodoro Sampaio,Pinheiros,60,2,1,Apartamento,3900,6176,15337,920220,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
167,Rua dos Pinheiros,Pinheiros,105,2,0,Apartamento,4950,5396,15337,1610385,"Rua dos Pinheiros, Pinheiros, São Paulo, SP","(-23.5644515, -46.6785043)"
168,Rua Cardeal Arcoverde,Pinheiros,100,2,0,Apartamento,3000,3116,15337,1533700,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, SP","(-23.5533793, -46.6746258)"
169,Rua Joaquim Antunes,Pinheiros,54,2,1,Apartamento,4977,6343,15337,828198,"Rua Joaquim Antunes, Pinheiros, São Paulo, SP","(-23.5655893, -46.6805614)"
170,Rua Antônio Vieira de Medeiros,Pinheiros,135,3,2,Casa,5500,5733,15337,2070495,"Rua Antônio Vieira de Medeiros, Pinheiros, São Paulo, SP","(-23.5700996, -46.6994919)"
171,Rua Fernão Dias,Pinheiros,150,3,1,Casa,5543,6284,15337,2300550,"Rua Fernão Dias, Pinheiros, São Paulo, SP","(-23.5682502, -46.6955933)"
172,Rua Teodoro Sampaio,Pinheiros,65,2,1,Apartamento,3300,5354,15337,996905,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
173,Rua Eugênio de Medeiros,Pinheiros,39,1,1,Apartamento,3760,4551,15337,598143,"Rua Eugênio de Medeiros, Pinheiros, São Paulo, SP","(-23.5703061, -46.7001637)"
174,Rua João Moura,Pinheiros,56,1,2,Apartamento,5000,6708,15337,858872,"Rua João Moura, Pinheiros, São Paulo, SP","(-23.5549042, -46.6815695)"
175,Rua Capote Valente,Pinheiros,35,1,0,Apartamento,3900,5751,15337,536795,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
176,Rua Teodoro Sampaio,Pinheiros,45,1,1,Apartamento,2800,4009,15337,690165,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
177,Alameda Santos,Pinheiros,90,1,0,Apartamento,3700,5045,15337,1380330,"Alameda Santos, Pinheiros, São Paulo, SP",
178,Rua Teodoro Sampaio,Pinheiros,120,3,2,Apartamento,3720,6563,15337,1840440,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
179,Rua Alves Guimarães,Pinheiros,31,1,0,Studio e kitnet,3250,3917,15337,475447,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
180,Rua Cardeal Arcoverde,Pinheiros,100,3,1,Apartamento,4000,5259,15337,1533700,"Rua Cardeal Arcoverde, Pinheiros, São Paulo, SP","(-23.5533793, -46.6746258)"
181,Rua Alves Guimarães,Pinheiros,65,1,2,Apartamento,5253,7434,15337,996905,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
182,Rua Alves Guimarães,Pinheiros,75,1,1,Apartamento,4600,6447,15337,1150275,"Rua Alves Guimarães, Pinheiros, São Paulo, SP","(-23.5501258, -46.6822123)"
183,Rua Francisco Leitão,Pinheiros,90,2,2,Apartamento,6332,8915,15337,1380330,"Rua Francisco Leitão, Pinheiros, São Paulo, SP","(-23.5601419, -46.682022)"
184,Avenida Eusébio Matoso,Pinheiros,46,1,1,Studio e kitnet,6010,8101,15337,705502,"Avenida Eusébio Matoso, Pinheiros, São Paulo, SP","(-23.5718702, -46.6987315)"
185,Rua Teodoro Sampaio,Pinheiros,100,2,0,Apartamento,3200,4118,15337,1533700,"Rua Teodoro Sampaio, Pinheiros, São Paulo, SP","(-23.5582712, -46.6786794)"
186,Rua Girassol,Pinheiros,64,1,1,Apartamento,3500,5323,15337,981568,"Rua Girassol, Pinheiros, São Paulo, SP","(-23.5567681, -46.6882794)"
187,Rua Capote Valente,Pinheiros,64,2,1,Apartamento,8900,10340,15337,981568,"Rua Capote Valente, Pinheiros, São Paulo, SP","(-23.5525439, -46.6791195)"
188,Rua Batataes,Pinheiros,55,1,2,Apartamento,3600,6105,15337,843535,"Rua Batataes, Pinheiros, São Paulo, SP",
